city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population
San Leandro,San Leandro,37.7071,-122.1601,United States,US,USA,California,,90465
Fishers,Fishers,39.959,-85.968,United States,US,USA,Indiana,,90127
Livermore,Livermore,37.6863,-121.7607,United States,US,USA,California,,89840
Decatur,Decatur,39.8555,-88.9337,United States,US,USA,Illinois,,89653
Lees Summit,Lees Summit,38.9172,-94.3816,United States,US,USA,Missouri,,89467
Suffolk,Suffolk,36.6953,-76.6398,United States,US,USA,Virginia,,89273
Muncie,Muncie,40.1989,-85.395,United States,US,USA,Indiana,,89186
Newton,Newton,42.3317,-71.2085,United States,US,USA,Massachusetts,,89045
Missoula,Missoula,46.8687,-114.0089,United States,US,USA,Montana,,89017
Fall River,Fall River,41.7136,-71.1014,United States,US,USA,Massachusetts,,88930
Rapid City,Rapid City,44.0709,-103.22,United States,US,USA,South Dakota,,88533
Menifee,Menifee,33.6909,-117.1849,United States,US,USA,California,,88531
Norwalk,Norwalk,41.1144,-73.4215,United States,US,USA,Connecticut,,88438
Jackson,Jackson,42.243,-84.4038,United States,US,USA,Michigan,,88394
Auburn,Auburn,32.6084,-85.4897,United States,US,USA,Alabama,,88379
Waukegan,Waukegan,42.3697,-87.8716,United States,US,USA,Illinois,,88182
Sugar Land,Sugar Land,29.5956,-95.6283,United States,US,USA,Texas,,88177
Hawthorne,Hawthorne,33.9147,-118.3476,United States,US,USA,California,,88031
Bowling Green,Bowling Green,36.9725,-86.4371,United States,US,USA,Kentucky,,87976
Chino,Chino,33.9836,-117.6653,United States,US,USA,California,,87776
Napa,Napa,38.2982,-122.3011,United States,US,USA,California,,87733
Kirkland,Kirkland,47.6996,-122.1982,United States,US,USA,Washington,,87701
Dalton,Dalton,34.7688,-84.9711,United States,US,USA,Georgia,,87688
Edinburg,Edinburg,26.3183,-98.1622,United States,US,USA,Texas,,87650
Citrus Heights,Citrus Heights,38.6948,-121.288,United States,US,USA,California,,87432
State College,State College,40.791,-77.8568,United States,US,USA,Pennsylvania,,87374
Whittier,Whittier,33.9678,-118.0188,United States,US,USA,California,,86883
Newport Beach,Newport Beach,33.6151,-117.8669,United States,US,USA,California,,86688
Anderson,Anderson,40.0875,-85.6921,United States,US,USA,Indiana,,86565
O'Fallon,O'Fallon,38.7853,-90.7178,United States,US,USA,Missouri,,86274
Joplin,Joplin,37.0766,-94.5016,United States,US,USA,Missouri,,86144
Clifton,Clifton,40.8631,-74.1575,United States,US,USA,New Jersey,,85845
Alhambra,Alhambra,34.084,-118.1355,United States,US,USA,California,,85474
Bloomington,Bloomington,44.8306,-93.315,United States,US,USA,Minnesota,,85319
Hoover,Hoover,33.3761,-86.8065,United States,US,USA,Alabama,,84978
